period,series_id,turnover
1988-11-01,A3348636C,670.8
1988-12-01,A3348636C,773.9
1989-01-01,A3348636C,732.8
1989-02-01,A3348636C,660.7
1989-03-01,A3348636C,713.2
1989-04-01,A3348636C,693.9
1989-05-01,A3348636C,710.0
1989-06-01,A3348636C,721.7
1989-07-01,A3348636C,741.3
1989-08-01,A3348636C,745.5
1989-09-01,A3348636C,766.9
1989-10-01,A3348636C,793.7
1989-11-01,A3348636C,807.5
1989-12-01,A3348636C,942.7
1990-01-01,A3348636C,857.5
1990-02-01,A3348636C,764.4
1990-03-01,A3348636C,840.3
1990-04-01,A3348636C,804.6
1990-05-01,A3348636C,808.9
1990-06-01,A3348636C,799.0
1990-07-01,A3348636C,815.0
1990-08-01,A3348636C,828.0
1990-09-01,A3348636C,812.4
1990-10-01,A3348636C,833.0
1990-11-01,A3348636C,851.5
1990-12-01,A3348636C,945.7
1991-01-01,A3348636C,861.7
1991-02-01,A3348636C,771.1
1991-03-01,A3348636C,813.3
1991-04-01,A3348636C,797.4
1991-05-01,A3348636C,820.6
1991-06-01,A3348636C,801.3
1991-07-01,A3348636C,829.4
1991-08-01,A3348636C,853.5
1991-09-01,A3348636C,882.0
1991-10-01,A3348636C,938.9
1991-11-01,A3348636C,953.8
1991-12-01,A3348636C,1048.3
1992-01-01,A3348636C,938.3
1992-02-01,A3348636C,861.5
1992-03-01,A3348636C,936.1
1992-04-01,A3348636C,932.0
1992-05-01,A3348636C,929.4
1992-06-01,A3348636C,868.5
1992-07-01,A3348636C,891.3
1992-08-01,A3348636C,875.5
1992-09-01,A3348636C,914.1
1992-10-01,A3348636C,935.7
1992-11-01,A3348636C,931.8
1992-12-01,A3348636C,1045.8
1993-01-01,A3348636C,917.8
1993-02-01,A3348636C,838.1
1993-03-01,A3348636C,869.8
1993-04-01,A3348636C,862.1
1993-05-01,A3348636C,852.1
1993-06-01,A3348636C,827.6
1993-07-01,A3348636C,882.3
1993-08-01,A3348636C,866.9
1993-09-01,A3348636C,904.9
1993-10-01,A3348636C,931.2
1993-11-01,A3348636C,963.0
1993-12-01,A3348636C,1099.5
1994-01-01,A3348636C,984.5
1994-02-01,A3348636C,901.6
1994-03-01,A3348636C,1015.2
1994-04-01,A3348636C,939.1
1994-05-01,A3348636C,941.4
1994-06-01,A3348636C,934.8
1994-07-01,A3348636C,1013.3
1994-08-01,A3348636C,1017.5
1994-09-01,A3348636C,1040.7
1994-10-01,A3348636C,1061.8
1994-11-01,A3348636C,1070.2
1994-12-01,A3348636C,1188.3
1995-01-01,A3348636C,1076.3
1995-02-01,A3348636C,981.6
